"Week","Date","Fuel","Variable","Value","Unit","Status"
"2004w22",2004-05-28,"Diesel","ETS",0,"NZD c/L","Final"
"2004w22",2004-05-28,"Diesel","GST",8.5,"NZD c/L","Final"
"2004w22",2004-05-28,"Diesel","Taxes",0.4,"NZD c/L","Final"
"2004w22",2004-05-28,"Diesel","Board price",76.9,"NZD c/L","Final"
"2004w22",2004-05-28,"Diesel","Adjusted retail price",76.9,"NZD c/L","Final"
"2004w22",2004-05-28,"Diesel","Importer margin",19.9,"NZD c/L","Final"
"2004w22",2004-05-28,"Diesel","Importer margin trend",18.350481023136,"NZD c/L","Final"
"2004w22",2004-05-28,"Regular Petrol","Importer cost",53.7,"NZD c/L","Final"
"2004w22",2004-05-28,"Regular Petrol","Price excluding tax",68.2,"NZD c/L","Final"
"2004w22",2004-05-28,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w22",2004-05-28,"Regular Petrol","GST",13.8,"NZD c/L","Final"
"2004w22",2004-05-28,"Regular Petrol","Taxes",41.9,"NZD c/L","Final"
"2004w22",2004-05-28,"Regular Petrol","Board price",123.9,"NZD c/L","Final"
"2004w22",2004-05-28,"Regular Petrol","Adjusted retail price",123.9,"NZD c/L","Final"
"2004w22",2004-05-28,"Regular Petrol","Importer margin",11.8,"NZD c/L","Final"
"2004w22",2004-05-28,"Regular Petrol","Importer margin trend",13.6213097857357,"NZD c/L","Final"
"2004w22",2004-05-28,"Premium Petrol 95R","Importer cost",57.88642857,"NZD c/L","Final"
"2004w22",2004-05-28,"Premium Petrol 95R","Price excluding tax",72.61277778,"NZD c/L","Final"
"2004w22",2004-05-28,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2004w22",2004-05-28,"Premium Petrol 95R","GST",14.32222222,"NZD c/L","Final"
"2004w22",2004-05-28,"Premium Petrol 95R","Taxes",41.965,"NZD c/L","Final"
"2004w22",2004-05-28,"Premium Petrol 95R","Board price",128.9,"NZD c/L","Final"
"2004w22",2004-05-28,"Premium Petrol 95R","Adjusted retail price",128.9,"NZD c/L","Final"
"2004w22",2004-05-28,"Premium Petrol 95R","Importer margin",14.72634921,"NZD c/L","Final"
"2004w22",2004-05-28,"Premium Petrol 95R","Importer margin trend",13.7591247757043,"NZD c/L","Final"
"2004w23",2004-06-04,"NA","Dubai crude price",35.22,"USD/bbl","Final"
"2004w23",2004-06-04,"NA","Dubai crude price",56.13,"NZD/bbl","Final"
"2004w23",2004-06-04,"NA","Exchange rate",0.628,"USD/NZD","Final"
"2004w23",2004-06-04,"Diesel","Importer cost",44.3,"NZD c/L","Final"
"2004w23",2004-06-04,"Diesel","Price excluding tax",67.7,"NZD c/L","Final"
"2004w23",2004-06-04,"Diesel","ETS",0,"NZD c/L","Final"
"2004w23",2004-06-04,"Diesel","GST",8.5,"NZD c/L","Final"
"2004w23",2004-06-04,"Diesel","Taxes",0.4,"NZD c/L","Final"
"2004w23",2004-06-04,"Diesel","Board price",76.6,"NZD c/L","Final"
"2004w23",2004-06-04,"Diesel","Adjusted retail price",76.6,"NZD c/L","Final"
"2004w23",2004-06-04,"Diesel","Importer margin",21.3,"NZD c/L","Final"
"2004w23",2004-06-04,"Diesel","Importer margin trend",18.3538127277235,"NZD c/L","Final"
"2004w23",2004-06-04,"Regular Petrol","Importer cost",49.4,"NZD c/L","Final"
"2004w23",2004-06-04,"Regular Petrol","Price excluding tax",67.9,"NZD c/L","Final"
"2004w23",2004-06-04,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w23",2004-06-04,"Regular Petrol","GST",13.7,"NZD c/L","Final"
"2004w23",2004-06-04,"Regular Petrol","Taxes",42,"NZD c/L","Final"
"2004w23",2004-06-04,"Regular Petrol","Board price",123.6,"NZD c/L","Final"
"2004w23",2004-06-04,"Regular Petrol","Adjusted retail price",123.6,"NZD c/L","Final"
"2004w23",2004-06-04,"Regular Petrol","Importer margin",13.6,"NZD c/L","Final"
"2004w23",2004-06-04,"Regular Petrol","Importer margin trend",13.6066862035094,"NZD c/L","Final"
"2004w23",2004-06-04,"Premium Petrol 95R","Importer cost",57.5805,"NZD c/L","Final"
"2004w23",2004-06-04,"Premium Petrol 95R","Price excluding tax",70.835,"NZD c/L","Final"
"2004w23",2004-06-04,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2004w23",2004-06-04,"Premium Petrol 95R","GST",14.1,"NZD c/L","Final"
"2004w23",2004-06-04,"Premium Petrol 95R","Taxes",41.965,"NZD c/L","Final"
"2004w23",2004-06-04,"Premium Petrol 95R","Board price",126.9,"NZD c/L","Final"
"2004w23",2004-06-04,"Premium Petrol 95R","Adjusted retail price",126.9,"NZD c/L","Final"
"2004w23",2004-06-04,"Premium Petrol 95R","Importer margin",13.2545,"NZD c/L","Final"
"2004w23",2004-06-04,"Premium Petrol 95R","Importer margin trend",13.7557262608521,"NZD c/L","Final"
"2004w24",2004-06-11,"NA","Dubai crude price",33.52,"USD/bbl","Final"
"2004w24",2004-06-11,"NA","Dubai crude price",53.3,"NZD/bbl","Final"
"2004w24",2004-06-11,"NA","Exchange rate",0.629,"USD/NZD","Final"
"2004w24",2004-06-11,"Diesel","Importer cost",44.5,"NZD c/L","Final"
"2004w24",2004-06-11,"Diesel","Price excluding tax",65.1,"NZD c/L","Final"
"2004w24",2004-06-11,"Diesel","ETS",0,"NZD c/L","Final"
"2004w24",2004-06-11,"Diesel","GST",8.2,"NZD c/L","Final"
"2004w24",2004-06-11,"Diesel","Taxes",0.300000000000001,"NZD c/L","Final"
"2004w24",2004-06-11,"Diesel","Board price",73.6,"NZD c/L","Final"
"2004w24",2004-06-11,"Diesel","Adjusted retail price",73.6,"NZD c/L","Final"
"2004w24",2004-06-11,"Diesel","Importer margin",19.4,"NZD c/L","Final"
"2004w24",2004-06-11,"Diesel","Importer margin trend",18.3571444323109,"NZD c/L","Final"
"2004w24",2004-06-11,"Regular Petrol","Importer cost",48.2,"NZD c/L","Final"
"2004w24",2004-06-11,"Regular Petrol","Price excluding tax",65.2,"NZD c/L","Final"
